,ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
408,1611.0,49340.0,1.0,1.0,1.0,1.0
409,1612.0,49340.0,1.0,1.0,1.0,1.0
410,1613.0,49340.0,1.0,1.0,1.0,1.0
411,1614.0,49340.0,0.0,0.0,1.0,1.0
412,1653.0,49340.0,0.0,1.0,0.0,1.0
413,1655.0,49340.0,0.0,1.0,1.0,1.0
414,1701.0,15764.0,1.0,1.0,1.0,1.0
415,1702.0,15764.0,1.0,1.0,1.0,1.0
416,1703.0,15764.0,1.0,1.0,1.0,1.0
417,1704.0,15764.0,1.0,1.0,1.0,1.0
418,1718.0,15764.0,1.0,1.0,1.0,1.0
419,1719.0,15764.0,1.0,1.0,1.0,1.0
420,1720.0,15764.0,1.0,1.0,1.0,1.0
421,1721.0,15764.0,1.0,1.0,1.0,1.0
422,1730.0,15764.0,1.0,1.0,1.0,1.0
423,1731.0,15764.0,1.0,1.0,1.0,1.0
424,1740.0,49340.0,1.0,1.0,1.0,1.0
425,1741.0,15764.0,1.0,1.0,1.0,1.0
426,1742.0,15764.0,1.0,1.0,1.0,1.0
427,1745.0,49340.0,1.0,1.0,1.0,1.0
428,1746.0,15764.0,1.0,1.0,1.0,1.0
429,1747.0,49340.0,1.0,1.0,1.0,1.0
430,1748.0,15764.0,1.0,1.0,1.0,1.0
431,1749.0,15764.0,0.998638838,0.998922414,1.0,0.998709165
432,1749.0,49340.0,0.0013611620000000002,0.001077586,0.0,0.001290835
433,1752.0,15764.0,1.0,1.0,1.0,1.0
434,1754.0,15764.0,1.0,1.0,1.0,1.0
435,1756.0,49340.0,1.0,1.0,1.0,1.0
436,1757.0,49340.0,1.0,1.0,1.0,1.0
437,1760.0,15764.0,1.0,1.0,1.0,1.0
438,1770.0,15764.0,1.0,1.0,1.0,1.0
439,1772.0,49340.0,1.0,1.0,1.0,1.0
440,1773.0,15764.0,1.0,1.0,1.0,1.0
441,1775.0,15764.0,1.0,1.0,1.0,1.0
442,1776.0,15764.0,1.0,1.0,1.0,1.0
443,1778.0,15764.0,1.0,1.0,1.0,1.0
444,1784.0,15764.0,0.0,0.0,1.0,1.0
445,1801.0,15764.0,1.0,1.0,1.0,1.0
446,1803.0,15764.0,1.0,1.0,1.0,1.0
447,1805.0,15764.0,0.0,0.0,1.0,1.0
