,default_wgt_sum,default_count,current_count
aito,0.0,4.0,129311.0
aitr,1.98,47.0,129268.0
aits,1.0,5.0,129310.0
aive,0.0,2.0,129313.0
aiy$,0.0,1.0,129314.0
aiyr,1.0,1.0,129314.0
aj s,0.0,1.0,129314.0
aje ,0.0,1.0,129314.0
ajec,0.0,1.0,129314.0
ajor,2.16,68.0,129247.0
ak c,0.0,1.0,129314.0
ak m,0.0,2.0,129313.0
ak o,0.0,1.0,129314.0
ak p,0.0,1.0,129314.0
ak r,0.0,3.0,129312.0
akag,0.0,2.0,129313.0
akdo,0.0,1.0,129314.0
ake ,1.9100000000000001,43.0,129272.0
ake$,0.0,2.0,129313.0
aked,0.0,1.0,129314.0
aker,11.600000000000001,209.0,129106.0
akes,0.0,5.0,129310.0
aket,0.0,1.0,129314.0
akeu,0.0,3.0,129312.0
akew,0.0,1.0,129314.0
akfa,0.0,3.0,129312.0
akho,0.0,2.0,129313.0
akin,0.0,6.0,129309.0
akla,0.0,1.0,129314.0
aks$,0.0,1.0,129314.0
al  ,0.0,39.0,129276.0
al 1,0.0,6.0,129309.0
al 2,0.0,3.0,129312.0
al 3,0.0,1.0,129314.0
al 4,0.0,2.0,129313.0
al 5,0.0,2.0,129313.0
al a,71.13999999999999,1884.0,127431.0
al b,8.72,337.0,128978.0
al c,28.83,807.0,128508.0
al d,7.900000000000001,467.0,128848.0
al e,20.93,642.0,128673.0
al f,5.48,152.0,129163.0
al g,1.5,26.0,129289.0
al h,17.02,402.0,128913.0
al i,8.040000000000001,161.0,129154.0
al j,0.0,6.0,129309.0
al k,0.0,3.0,129312.0
al l,7.640000000000001,254.0,129061.0
al m,43.93999999999998,1503.0,127812.0
al n,3.21,133.0,129182.0
al o,16.44,450.0,128865.0
al p,15.290000000000001,376.0,128939.0
al q,0.0,12.0,129303.0
al r,11.030000000000001,324.0,128991.0
al s,52.59999999999998,1664.0,127651.0
al t,35.489999999999995,879.0,128436.0
al u,0.0,17.0,129298.0
al v,3.0,42.0,129273.0
al w,12.930000000000001,376.0,128939.0
al z,0.0,1.0,129314.0
al1$,0.75,1.0,129314.0
al73,0.0,1.0,129314.0
ala$,0.0,1.0,129314.0
alab,0.0,1.0,129314.0
alad,1.75,3.0,129312.0
alag,0.0,1.0,129314.0
alal,0.0,2.0,129313.0
alan,0.0,5.0,129310.0
alar,0.46,25.0,129290.0
alas,0.0,4.0,129311.0
alat,0.0,7.0,129308.0
alay,0.0,3.0,129312.0
alba,0.0,1.0,129314.0
alc ,0.0,1.0,129314.0
alc$,0.0,1.0,129314.0
alca,0.0,1.0,129314.0
alco,0.0,5.0,129310.0
alcu,1.0,3.0,129312.0
ald ,0.0,4.0,129311.0
alde,0.0,2.0,129313.0
ale ,0.0,55.0,129260.0
ale$,0.75,8.0,129307.0
alea,0.0,2.0,129313.0
aled,0.0,1.0,129314.0
alef,0.0,1.0,129314.0
aleg,16.310000000000002,356.0,128959.0
alem,0.0,4.0,129311.0
alen,1.75,45.0,129270.0
aleq,0.0,1.0,129314.0
aler,16.0,156.0,129159.0
ales,221.12999999999994,4956.0,124359.0
alet,2.73,19.0,129296.0
alew,0.0,1.0,129314.0
alex,0.0,2.0,129313.0
alfa,0.0,2.0,129313.0
alfi,0.0,1.0,129314.0
alfr,0.0,1.0,129314.0
alge,0.0,1.0,129314.0
algo,0.0,1.0,129314.0
algr,0.0,1.0,129314.0
alho,0.0,1.0,129314.0
ali$,0.0,4.0,129311.0
alia,0.0,6.0,129309.0
alib,2.0,14.0,129301.0
alic,0.0,2.0,129313.0
alid,0.75,14.0,129301.0
alif,0.0,13.0,129302.0
alig,0.0,6.0,129309.0
alil,0.0,1.0,129314.0
alin,2.0,13.0,129302.0
alio,1.0,21.0,129294.0
alip,0.0,1.0,129314.0
alis,108.53999999999999,3719.0,125596.0
alit,20.37,699.0,128616.0
aliu,0.0,1.0,129314.0
aliz,0.75,16.0,129299.0
alj ,0.0,1.0,129314.0
alk ,0.0,1.0,129314.0
alke,0.0,2.0,129313.0
all ,5.0600000000000005,142.0,129173.0
all$,0.0,5.0,129310.0
alla,1.0,42.0,129273.0
alle,7.98,167.0,129148.0
alli,1.0,16.0,129299.0
alll,0.0,1.0,129314.0
allm,0.0,1.0,129314.0
allo,0.0,11.0,129304.0
allp,0.0,1.0,129314.0
alls,0.0,1.0,129314.0
allt,0.0,1.0,129314.0
allu,0.0,3.0,129312.0
allv,0.0,1.0,129314.0
ally,0.0,2.0,129313.0
alm ,0.0,4.0,129311.0
alm$,0.0,1.0,129314.0
alma,0.0,12.0,129303.0
alme,0.0,5.0,129310.0
almi,0.0,19.0,129296.0
almo,0.0,3.0,129312.0
alnt,0.0,1.0,129314.0
alnw,0.0,1.0,129314.0
alof,0.0,1.0,129314.0
alog,0.0,6.0,129309.0
alon,0.0,11.0,129304.0
alop,0.0,1.0,129314.0
alph,0.0,1.0,129314.0
alpi,0.0,2.0,129313.0
alpr,0.0,1.0,129314.0
alra,0.0,4.0,129311.0
als ,5.71,122.0,129193.0
als$,0.0,16.0,129299.0
alse,0.0,2.0,129313.0
alsi,0.0,3.0,129312.0
also,0.0,2.0,129313.0
alst,0.0,8.0,129307.0
alsu,0.0,1.0,129314.0
alsy,0.0,2.0,129313.0
alt ,0.0,3.0,129312.0
alt$,0.0,2.0,129313.0
alte,0.0,7.0,129308.0
alth,17.990000000000002,467.0,128848.0
alti,0.0,6.0,129309.0
alto,2.98,63.0,129252.0
altr,0.0,1.0,129314.0
alty,2.75,31.0,129284.0
alua,1.23,31.0,129284.0
alue,0.0,13.0,129302.0
alui,0.0,1.0,129314.0
alum,0.0,8.0,129307.0
alus,1.0,2.0,129313.0
alva,0.0,2.0,129313.0
alve,0.0,3.0,129312.0
aly$,0.0,3.0,129312.0
alye,0.0,1.0,129314.0
alyi,1.0,7.0,129308.0
alys,113.88,3694.0,125621.0
alyt,0.23,39.0,129276.0
alyz,0.0,2.0,129313.0
alzh,0.0,2.0,129313.0
am  ,0.0,9.0,129306.0
am 7,0.0,1.0,129314.0
am a,4.37,168.0,129147.0
am b,0.0,3.0,129312.0
am c,4.98,122.0,129193.0
am d,2.0,108.0,129207.0
am e,1.0,18.0,129297.0
am f,0.0,6.0,129309.0
am g,0.0,1.0,129314.0
am h,0.0,1.0,129314.0
am i,0.0,6.0,129309.0
am l,17.0,417.0,128898.0
am m,9.96,471.0,128844.0
am o,0.23,22.0,129293.0
am p,0.0,10.0,129305.0
am q,0.0,1.0,129314.0
am r,0.23,9.0,129306.0
am s,4.23,120.0,129195.0
am t,3.0,24.0,129291.0
am u,0.23,1.0,129314.0
am w,0.0,1.0,129314.0
am x,0.0,1.0,129314.0
am1 ,0.23,1.0,129314.0
am2$,0.0,1.0,129314.0
ama$,0.0,1.0,129314.0
amac,0.0,2.0,129313.0
amag,3.0,22.0,129293.0
amal,0.0,1.0,129314.0
aman,0.0,6.0,129309.0
amar,0.0,1.0,129314.0
amas,0.0,1.0,129314.0
amat,0.0,3.0,129312.0
amba,0.75,11.0,129304.0
ambb,0.0,1.0,129314.0
ambe,0.0,2.0,129313.0
ambi,0.0,1.0,129314.0
ambl,0.0,5.0,129310.0
ambu,1.0,7.0,129308.0
amc ,0.0,1.0,129314.0
amca,0.0,1.0,129314.0
amco,0.0,1.0,129314.0
ame ,1.0,21.0,129294.0
amed,12.330000000000002,214.0,129101.0
amen,0.75,4.0,129311.0
amer,3.5,67.0,129248.0
ames,5.5,66.0,129249.0
amfi,0.0,9.0,129306.0
amg$,0.0,2.0,129313.0
amgr,0.0,1.0,129314.0
ami ,0.0,2.0,129313.0
ami$,0.0,1.0,129314.0
amic,0.0,4.0,129311.0
amie,0.0,1.0,129314.0
amii,0.0,1.0,129314.0
amil,1.73,89.0,129226.0
amin,13.89,213.0,129102.0
amis,0.0,2.0,129313.0
aml ,1.0,11.0,129304.0
amle,1.0,10.0,129305.0
amm ,0.0,1.0,129314.0
amma,0.0,2.0,129313.0
amme,13.290000000000001,361.0,128954.0
ammi,0.0,19.0,129296.0
ammn,0.0,1.0,129314.0
ammo,0.75,14.0,129301.0
ammp,0.0,1.0,129314.0
ammu,0.0,1.0,129314.0
amna,0.0,2.0,129313.0
amo ,0.0,1.0,129314.0
amog,0.0,1.0,129314.0
amon,0.0,1.0,129314.0
amor,0.0,1.0,129314.0
amp ,1.75,34.0,129281.0
amp$,1.0,7.0,129308.0
ampa,1.0,8.0,129307.0
ampb,0.0,1.0,129314.0
ampe,0.0,2.0,129313.0
ampi,0.0,5.0,129310.0
ampl,1.58,15.0,129300.0
ampt,0.0,1.0,129314.0
ampu,1.0,42.0,129273.0
amra,0.0,1.0,129314.0
ams ,0.0,30.0,129285.0
ams$,1.23,39.0,129276.0
amse,0.0,2.0,129313.0
amss,0.0,1.0,129314.0
amst,0.75,11.0,129304.0
amsu,0.0,1.0,129314.0
amt ,0.0,2.0,129313.0
amt$,1.0,6.0,129309.0
amt1,0.0,1.0,129314.0
amtr,0.0,1.0,129314.0
amur,0.0,1.0,129314.0
an  ,2.0,27.0,129288.0
an $,0.0,1.0,129314.0
an 1,1.0,11.0,129304.0
an 2,0.0,10.0,129305.0
an 3,0.0,7.0,129308.0
an 4,0.0,3.0,129312.0
an 5,0.0,2.0,129313.0
an a,8.31,224.0,129091.0
an b,0.0,10.0,129305.0
an c,3.44,93.0,129222.0
an d,0.0,23.0,129292.0
an e,2.0,67.0,129248.0
an f,0.75,21.0,129294.0
an g,1.0,10.0,129305.0
an h,0.75,10.0,129305.0
an i,3.5,83.0,129232.0
an j,0.0,2.0,129313.0
an k,0.0,2.0,129313.0
an l,0.98,31.0,129284.0
an m,1.75,51.0,129264.0
an n,0.0,3.0,129312.0
an o,16.91,301.0,129014.0
